* Measurement data measured by REW V5.31.3
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Apr 18, 2025, 8:25:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: IR window: 0ms left, 2ms right
* Measurement: Piega
* Smoothing: None
* Frequency Step: 0.36621097 Hz
* Start Frequency: 1000.1221 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1222.778338, 51.114, 178.8559
1223.144549, 51.159, 178.9394
1223.510760, 51.205, 179.0216
1223.876971, 51.250, 179.1021
1224.243182, 51.295, 179.1814
1224.609393, 51.340, 179.2590
1224.975604, 51.385, 179.3354
1225.341815, 51.430, 179.4102
1225.708026, 51.475, 179.4836
1226.074237, 51.519, 179.5556
1226.440448, 51.563, 179.6265
1226.806659, 51.607, 179.6959
1227.172870, 51.651, 179.7639
1227.539081, 51.695, 179.8309
1227.905292, 51.739, 179.8964
1228.271503, 51.782, 179.9606
1228.637714, 51.826, -179.9764
1229.003925, 51.869, -179.9146
1229.370136, 51.912, -179.8540
1229.736347, 51.955, -179.7946
1230.102558, 51.998, -179.7366
1230.468769, 52.041, -179.6797
1230.834980, 52.083, -179.6239
1231.201191, 52.125, -179.5691
1231.567402, 52.168, -179.5156
1231.933613, 52.210, -179.4634
1232.299824, 52.252, -179.4119
1232.666035, 52.293, -179.3618
1233.032246, 52.335, -179.3125
1233.398456, 52.376, -179.2643
1233.764667, 52.418, -179.2173
1234.130878, 52.459, -179.1711
1234.497089, 52.500, -179.1262
1234.863300, 52.541, -179.0822
1235.229511, 52.582, -179.0391
1235.595722, 52.622, -178.9971
1235.961933, 52.663, -178.9562
1236.328144, 52.703, -178.9162
1236.694355, 52.743, -178.8769
1237.060566, 52.783, -178.8387
1237.426777, 52.823, -178.8015
1237.792988, 52.863, -178.7650
1238.159199, 52.903, -178.7296
1238.525410, 52.942, -178.6951
1238.891621, 52.982, -178.6613
1239.257832, 53.021, -178.6286
1239.624043, 53.060, -178.5965
1239.990254, 53.099, -178.5654
1240.356465, 53.138, -178.5350
1240.722676, 53.177, -178.5053
1241.088887, 53.215, -178.4770
1241.455098, 53.254, -178.4492
1241.821309, 53.292, -178.4220
1242.187520, 53.330, -178.3958
1242.553731, 53.368, -178.3702
1242.919942, 53.406, -178.3456
1243.286153, 53.444, -178.3217
1243.652364, 53.482, -178.2987
1244.018575, 53.519, -178.2760
1244.384786, 53.557, -178.2545
1244.750996, 53.594, -178.2334
1245.117207, 53.631, -178.2132
1245.483418, 53.668, -178.1937
1245.849629, 53.705, -178.1748
1246.215840, 53.742, -178.1565
1246.582051, 53.779, -178.1392
1246.948262, 53.815, -178.1224
1247.314473, 53.852, -178.1063
1247.680684, 53.888, -178.0907
1248.046895, 53.924, -178.0759
1248.413106, 53.960, -178.0617
1248.779317, 53.996, -178.0483
1249.145528, 54.032, -178.0353
1249.511739, 54.067, -178.0232
1249.877950, 54.103, -178.0115
1250.244161, 54.138, -178.0004
1250.610372, 54.174, -177.9898
1250.976583, 54.209, -177.9801
1251.342794, 54.244, -177.9707
1251.709005, 54.279, -177.9621
1252.075216, 54.313, -177.9540
1252.441427, 54.348, -177.9465
1252.807638, 54.382, -177.9395
1253.173849, 54.417, -177.9330
1253.540060, 54.451, -177.9272
1253.906271, 54.485, -177.9218
1254.272482, 54.519, -177.9170
1254.638693, 54.553, -177.9128
1255.004904, 54.587, -177.9090
1255.371115, 54.621, -177.9060
1255.737325, 54.654, -177.9033
1256.103536, 54.688, -177.9010
1256.469747, 54.721, -177.8994
1256.835958, 54.754, -177.8983
1257.202169, 54.788, -177.8974
1257.568380, 54.821, -177.8972
1257.934591, 54.854, -177.8975
1258.300802, 54.886, -177.8983
1258.667013, 54.919, -177.8995
1259.033224, 54.952, -177.9012
1259.399435, 54.984, -177.9034
1259.765646, 55.017, -177.9060
1260.131857, 55.049, -177.9092
1260.498068, 55.081, -177.9125
1260.864279, 55.113, -177.9165
1261.230490, 55.145, -177.9209
1261.596701, 55.177, -177.9258
1261.962912, 55.209, -177.9309
1262.329123, 55.241, -177.9367
1262.695334, 55.272, -177.9427
1263.061545, 55.304, -177.9492
1263.427756, 55.335, -177.9563
1263.793967, 55.366, -177.9636
1264.160178, 55.397, -177.9712
1264.526389, 55.429, -177.9792
1264.892600, 55.459, -177.9879
1265.258811, 55.490, -177.9966
1265.625022, 55.521, -178.0060
1265.991233, 55.552, -178.0158
1266.357444, 55.582, -178.0258
1266.723655, 55.613, -178.0361
1267.089865, 55.643, -178.0471
1267.456076, 55.674, -178.0581
1267.822287, 55.704, -178.0696
1268.188498, 55.734, -178.0814
1268.554709, 55.764, -178.0937
1268.920920, 55.794, -178.1062
1269.287131, 55.824, -178.1191
1269.653342, 55.853, -178.1324
1270.019553, 55.883, -178.1460
1270.385764, 55.912, -178.1599
1270.751975, 55.942, -178.1742
1271.118186, 55.971, -178.1888
1271.484397, 56.001, -178.2037
1271.850608, 56.030, -178.2188
1272.216819, 56.059, -178.2344
1272.583030, 56.088, -178.2502
1272.949241, 56.117, -178.2664
1273.315452, 56.145, -178.2830
1273.681663, 56.174, -178.2998
1274.047874, 56.203, -178.3168
1274.414085, 56.231, -178.3342
1274.780296, 56.260, -178.3519
1275.146507, 56.288, -178.3699
1275.512718, 56.316, -178.3882
1275.878929, 56.345, -178.4067
1276.245140, 56.373, -178.4256
1276.611351, 56.401, -178.4448
1276.977562, 56.429, -178.4641
1277.343773, 56.457, -178.4838
